,CIK,CONAME,FDATE,FORM,FYRMO,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
13,3662,SUNBEAM CORP/FL/,08/19/1999,10-Q,199908,edgar/data/3662/0000950170-99-001361.txt,67,129,-0.316326528998334,21,0.4046900713110258,8.561876028524411,2951,7292,159,51,0.009188151398793198,0.017690619857377948,0.021804717498628633,0.0069939659901261655,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,51
14,3662,SUNBEAM CORP/FL/,11/08/1999,10-K/A,199911,edgar/data/3662/0000889812-99-003241.txt,0,0,0.0,21,0.4161073825503356,8.566442953020134,62,149,4,0,0.0,0.0,0.026845637583892617,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
15,3662,SUNBEAM CORP/FL/,11/08/1999,10-Q/A,199911,edgar/data/3662/0000950170-99-001639.txt,69,144,-0.3521126744032269,21,0.4011010113941877,8.560440404557676,3133,7811,172,59,0.008833696069645371,0.018435539623607732,0.02202022788375368,0.00755345026245039,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,59
16,3662,SUNBEAM CORP/FL/,11/08/1999,10-Q/A,199911,edgar/data/3662/0000950170-99-001640.txt,40,127,-0.5209580807128259,24,0.4090545512717965,9.76362182050872,2557,6251,151,48,0.00639897616381379,0.020316749320108782,0.024156135018397057,0.007678771396576548,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,48
17,3662,SUNBEAM CORP/FL/,11/15/1999,NT 10-Q,199911,edgar/data/3662/0000950172-99-001626.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
18,3662,SUNBEAM CORP/FL/,11/19/1999,10-Q,199911,edgar/data/3662/0000950170-99-001856.txt,73,154,-0.35682819226066875,23,0.4010975609756098,9.360439024390244,3289,8200,174,59,0.008902439024390243,0.018780487804878048,0.021219512195121953,0.0071951219512195125,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,59
19,3982,ALLIS CHALMERS ENERGY INC.,03/22/2006,10-K,200603,edgar/data/3982/0000950129-06-002926.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
20,3982,ALLIS CHALMERS ENERGY INC.,05/01/2006,10-K/A,200605,edgar/data/3982/0000950129-06-004690.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
21,3982,ALLIS CHALMERS ENERGY INC.,05/10/2006,10-Q,200605,edgar/data/3982/0000950129-06-005244.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
22,3982,ALLIS CHALMERS ENERGY INC.,07/24/2006,10-K/A,200607,edgar/data/3982/0000950129-06-007243.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
23,3982,ALLIS CHALMERS ENERGY INC.,07/24/2006,10-Q/A,200607,edgar/data/3982/0000950129-06-007244.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
24,3982,ALLIS CHALMERS ENERGY INC.,08/14/2006,10-Q,200608,edgar/data/3982/0000950129-06-007871.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
25,3982,ALLIS CHALMERS ENERGY INC.,11/08/2006,10-Q,200611,edgar/data/3982/0000950129-06-009522.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,31,106,-0.5474452514785019,28,0.4693777560019598,11.387751102400784,958,2041,106,40,0,0,0,0,40
26,3982,ALLIS CHALMERS ENERGY INC.,12/29/2006,10-Q/A,200612,edgar/data/3982/0000950134-06-023819.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
27,3982,ALLIS CHALMERS ENERGY INC.,03/15/2007,10-K,200703,edgar/data/3982/0000950129-07-001381.txt,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,67,80,-0.08843537354805868,18,0.37617836301062396,7.35047134520425,2514,6683,79,50,0,0,0,0,50
