,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
43,4457,AMERCO /NV/,199911,11/08/1999,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-99-000043.txt
44,4457,AMERCO /NV/,200002,02/10/2000,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000018.txt
45,4457,AMERCO /NV/,200006,06/29/2000,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000067.txt
46,4457,AMERCO /NV/,200008,08/11/2000,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000080.txt
47,4457,AMERCO /NV/,200011,11/13/2000,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000105.txt
48,4457,AMERCO /NV/,200102,02/14/2001,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500024.txt
49,4457,AMERCO /NV/,200107,07/02/2001,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500063.txt
50,4457,AMERCO /NV/,200107,07/02/2001,NT 10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500060.txt
51,4457,AMERCO /NV/,200108,08/10/2001,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500081.txt
52,4457,AMERCO /NV/,200108,08/10/2001,10-Q/A,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500083.txt
53,4515,AMERICAN AIRLINES INC,200810,10/16/2008,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-08-000073.txt
54,4515,AMERICAN AIRLINES INC,200902,02/19/2009,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000008.txt
55,4515,AMERICAN AIRLINES INC,200904,04/16/2009,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000018.txt
56,4515,AMERICAN AIRLINES INC,200907,07/15/2009,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000029.txt
57,4515,AMERICAN AIRLINES INC,200910,10/21/2009,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000039.txt
